workload,payload_bytes,iterations,median_ns_per_op,rust_alloc_calls_per_op,rust_requested_bytes_per_op
rsa2048_pkcs1_sha256_sign_reuse,256,100,508671,5.000,1041.000
rsa2048_pkcs1_sha256_sign_recreate,256,100,508796,5.000,1041.000
rsa2048_pkcs1_sha256_verify_reuse,256,1000,10281,1.000,294.000
rsa2048_pkcs1_sha256_verify_recreate,256,1000,10175,1.000,294.000
rsa2048_pkcs1_sha256_import_pkcs8,1217,50,91862,7.000,2502.000
rsa2048_pkcs1_sha256_import_spki,294,500,634,3.000,756.000
rsa2048_pss_sha256_sign_reuse,256,100,515317,5.000,1041.000
rsa2048_pss_sha256_sign_recreate,256,100,508525,5.000,1041.000
rsa2048_pss_sha256_verify_reuse,256,1000,10334,1.000,294.000
rsa2048_pss_sha256_verify_recreate,256,1000,10355,1.000,294.000
rsa2048_pss_sha256_import_pkcs8,1217,50,91694,7.000,2502.000
rsa2048_pss_sha256_import_spki,294,500,585,3.000,756.000
p256_sha256_sign_reuse,256,1000,18100,5.875,327.125
p256_sha256_sign_recreate,256,1000,18079,5.625,309.125
p256_sha256_verify_reuse,256,1000,27550,16.000,461.000
p256_sha256_verify_recreate,256,1000,27929,16.000,461.000
p256_sha256_import_pkcs8,138,50,6950,5.000,553.000
p256_sha256_import_spki,91,500,441,3.000,350.000
ed25519_sign_reuse,256,1000,8456,2.000,128.000
ed25519_sign_recreate,256,1000,8441,2.000,128.000
ed25519_verify_reuse,256,1000,18251,1.000,44.000
ed25519_verify_recreate,256,1000,18350,1.000,44.000
ed25519_import_pkcs8,83,50,4105,4.000,339.000
ed25519_import_spki,44,500,140,3.000,256.000
hmac_sha256_sign_reuse,256,10000,322,1.000,32.000
hmac_sha256_verify_reuse,256,10000,317,1.000,32.000
hmac_import_raw,32,10000,60,2.000,200.000
aes256_gcm_encrypt,32,3000,2350,1.000,60.000
aes256_gcm_decrypt,32,3000,149,1.000,48.000
aes256_kw_wrap,32,3000,389,2.000,72.000
aes256_kw_unwrap,32,3000,396,2.000,64.000
aes256_gcm_encrypt,4096,1000,2824,1.000,4124.000
aes256_gcm_decrypt,4096,1000,608,1.000,4112.000
aes256_kw_wrap,4096,1000,42388,2.000,4136.000
aes256_kw_unwrap,4096,1000,41799,2.000,4128.000
aes256_gcm_encrypt,65536,100,11107,1.000,65564.000
aes256_gcm_decrypt,65536,100,8498,1.000,65552.000
aes256_kw_wrap,65536,100,656494,2.000,65576.000
aes256_kw_unwrap,65536,100,658831,2.000,65568.000
