workload,payload_bytes,iterations,median_ns_per_op,rust_alloc_calls_per_op,rust_requested_bytes_per_op
rsa2048_pkcs1_sha256_sign_reuse,256,100,500236,5.000,1041.000
rsa2048_pkcs1_sha256_sign_recreate,256,100,500096,5.000,1041.000
rsa2048_pkcs1_sha256_verify_reuse,256,1000,10023,1.000,294.000
rsa2048_pkcs1_sha256_verify_recreate,256,1000,10105,1.000,294.000
rsa2048_pkcs1_sha256_import_pkcs8,1217,50,89685,7.000,2502.000
rsa2048_pkcs1_sha256_import_spki,294,500,603,3.000,756.000
rsa2048_pss_sha256_sign_reuse,256,100,511767,5.000,1041.000
rsa2048_pss_sha256_sign_recreate,256,100,514481,5.000,1041.000
rsa2048_pss_sha256_verify_reuse,256,1000,10568,1.000,294.000
rsa2048_pss_sha256_verify_recreate,256,1000,10409,1.000,294.000
rsa2048_pss_sha256_import_pkcs8,1217,50,91008,7.000,2502.000
rsa2048_pss_sha256_import_spki,294,500,615,3.000,756.000
p256_sha256_sign_reuse,256,1000,18110,5.750,317.750
p256_sha256_sign_recreate,256,1000,18325,5.875,326.625
p256_sha256_verify_reuse,256,1000,27997,16.000,458.000
p256_sha256_verify_recreate,256,1000,27482,16.000,458.000
p256_sha256_import_pkcs8,138,50,7245,5.000,553.000
p256_sha256_import_spki,91,500,458,3.000,350.000
ed25519_sign_reuse,256,1000,8427,2.000,128.000
ed25519_sign_recreate,256,1000,8489,2.000,128.000
ed25519_verify_reuse,256,1000,18301,1.000,44.000
ed25519_verify_recreate,256,1000,18707,1.000,44.000
ed25519_import_pkcs8,83,50,4105,4.000,339.000
ed25519_import_spki,44,500,134,3.000,256.000
hmac_sha256_sign_reuse,256,10000,336,1.000,32.000
hmac_sha256_verify_reuse,256,10000,326,1.000,32.000
hmac_import_raw,32,10000,58,2.000,200.000
aes256_gcm_encrypt,32,3000,2467,3.000,156.000
aes256_gcm_decrypt,32,3000,162,2.000,80.000
aes256_kw_wrap,32,3000,400,3.000,112.000
aes256_kw_unwrap,32,3000,408,3.000,96.000
aes256_gcm_encrypt,4096,1000,2950,3.000,16412.000
aes256_gcm_decrypt,4096,1000,666,2.000,8208.000
aes256_kw_wrap,4096,1000,40996,3.000,8240.000
aes256_kw_unwrap,4096,1000,41274,3.000,8224.000
aes256_gcm_encrypt,65536,100,12159,3.000,262172.000
aes256_gcm_decrypt,65536,100,9557,2.000,131088.000
aes256_kw_wrap,65536,100,670577,3.000,131120.000
aes256_kw_unwrap,65536,100,669050,3.000,131104.000
