workload,payload_bytes,iterations,median_ns_per_op,rust_alloc_calls_per_op,rust_requested_bytes_per_op
rsa2048_pkcs1_sha256_sign_reuse,256,100,700437,296.000,56887.000
rsa2048_pkcs1_sha256_sign_recreate,256,100,703317,296.000,56887.000
rsa2048_pkcs1_sha256_verify_reuse,256,1000,89348,89.000,24005.000
rsa2048_pkcs1_sha256_verify_recreate,256,1000,92980,89.000,24005.000
rsa2048_pkcs1_sha256_import_pkcs8,1217,50,27477,524.000,56256.000
rsa2048_pkcs1_sha256_import_spki,294,500,450,4.000,971.000
rsa2048_pss_sha256_sign_reuse,256,100,713859,300.750,56895.000
rsa2048_pss_sha256_sign_recreate,256,100,714173,300.875,56895.500
rsa2048_pss_sha256_verify_reuse,256,1000,91209,85.000,23936.000
rsa2048_pss_sha256_verify_recreate,256,1000,90543,85.000,23936.000
rsa2048_pss_sha256_import_pkcs8,1217,50,26604,524.000,56256.000
rsa2048_pss_sha256_import_spki,294,500,444,4.000,971.000
p256_sha256_sign_reuse,256,1000,100495,3.000,128.000
p256_sha256_sign_recreate,256,1000,99838,3.000,128.000
p256_sha256_verify_reuse,256,1000,163364,2.000,64.000
p256_sha256_verify_recreate,256,1000,162540,2.000,64.000
p256_sha256_import_pkcs8,138,50,161938,2.000,594.000
p256_sha256_import_spki,91,500,329,1.000,456.000
ed25519_sign_reuse,256,1000,10784,1.000,64.000
ed25519_sign_recreate,256,1000,9692,1.000,64.000
ed25519_verify_reuse,256,1000,22037,0.000,0.000
ed25519_verify_recreate,256,1000,22001,0.000,0.000
ed25519_import_pkcs8,83,50,10892,2.000,539.000
ed25519_import_spki,44,500,2389,1.000,456.000
hmac_sha256_sign_reuse,256,10000,957,1.000,32.000
hmac_sha256_verify_reuse,256,10000,939,1.000,32.000
hmac_import_raw,32,10000,64,2.000,488.000
aes256_gcm_encrypt,32,3000,1378,2.000,108.000
aes256_gcm_decrypt,32,3000,404,1.000,48.000
aes256_kw_wrap,32,3000,532,1.000,40.000
aes256_kw_unwrap,32,3000,587,1.000,32.000
aes256_gcm_encrypt,4096,1000,2378,2.000,8236.000
aes256_gcm_decrypt,4096,1000,1332,1.000,4112.000
aes256_kw_wrap,4096,1000,34480,1.000,4104.000
aes256_kw_unwrap,4096,1000,41895,1.000,4096.000
aes256_gcm_encrypt,65536,100,19622,2.000,131116.000
aes256_gcm_decrypt,65536,100,17719,1.000,65552.000
aes256_kw_wrap,65536,100,547664,1.000,65544.000
aes256_kw_unwrap,65536,100,667707,1.000,65536.000
